Date,Open,High,Low,Close,Volume,Change
2024-05-22,32800,33700,32350,33600,445261,0.02752293577981657
2024-05-23,34400,34400,33200,33300,477253,-0.008928571428571397
2024-05-24,32700,33700,32700,33650,326993,0.010510510510510551
2024-05-27,33750,34050,32600,33450,575442,-0.005943536404160454
2024-05-28,33250,34400,33100,33500,698079,0.001494768310911887
2024-05-29,33800,34350,33100,33750,1186584,0.00746268656716409
2024-05-30,33600,33750,32550,32850,399917,-0.026666666666666616
2024-05-31,32850,33150,32250,32750,850125,-0.0030441400304414
2024-06-03,32600,33000,32350,32600,318011,-0.004580152671755711
2024-06-04,32600,33050,31500,31850,402924,-0.02300613496932513
2024-06-05,32250,36800,31950,33450,7421340,0.050235478806907485
2024-06-07,33800,35650,33700,35500,2048487,0.06128550074738426
2024-06-10,34150,34650,33700,34200,959512,-0.036619718309859106
2024-06-11,34550,34600,33750,33850,479074,-0.010233918128654929
2024-06-12,34400,36450,34200,36050,1717401,0.06499261447562787
2024-06-13,36600,36600,35150,36100,1370444,0.001386962552011095
2024-06-14,36300,36350,34300,34400,818460,-0.047091412742382266
2024-06-17,34500,35400,34050,34750,511708,0.01017441860465107
2024-06-18,35400,36450,35050,35700,786648,0.027338129496402797
2024-06-19,36250,36800,35550,36600,956744,0.025210084033613356
2024-06-20,36750,38250,34800,35050,1737159,-0.042349726775956276
2024-06-21,34650,35300,34400,34800,553385,-0.007132667617689048
2024-06-24,34500,34800,33500,33800,622635,-0.028735632183908066
2024-06-25,33200,34050,32800,33900,385452,0.002958579881656709
2024-06-26,34400,34950,34000,34100,324550,0.005899705014749346
2024-06-27,34100,35350,33500,34700,583751,0.017595307917888547
2024-06-28,35350,39050,34600,37350,3903775,0.07636887608069154
2024-07-01,36950,38750,36850,38300,1467244,0.025435073627844806
2024-07-02,38550,39300,37350,37650,1138740,-0.016971279373368175
2024-07-03,37700,38600,36450,37800,945466,0.003984063745019917
2024-07-04,38200,38500,36550,37150,1303354,-0.01719576719576721
2024-07-05,37250,37650,34850,35250,1265871,-0.05114401076716013
2024-07-08,35500,35800,34600,35100,881328,-0.004255319148936176
2024-07-09,35350,36400,35000,35800,888983,0.019943019943019946
2024-07-10,35650,35700,34650,35550,729699,-0.006983240223463638
2024-07-11,37100,37150,35850,36250,1604821,0.019690576652601877
2024-07-12,35250,35850,34800,35000,674671,-0.03448275862068961
2024-07-15,35000,35150,34500,34600,367817,-0.011428571428571455
2024-07-16,34600,34950,34400,34600,377497,0.0
2024-07-17,34700,34700,33000,33000,855126,-0.046242774566473965
2024-07-18,31100,31850,30650,31150,1226804,-0.05606060606060603
2024-07-19,31050,32000,30650,31550,450845,0.01284109149277679
2024-07-22,31550,31700,29850,30000,567052,-0.04912836767036455
2024-07-23,30800,31000,29550,30250,482410,0.008333333333333304
2024-07-24,29800,30800,29800,30400,260075,0.0049586776859504855
2024-07-25,29200,29450,27900,27950,1010057,-0.08059210526315785
2024-07-26,28100,28950,27800,28550,447007,0.02146690518783534
2024-07-29,28700,28900,28400,28550,275723,0.0
2024-07-30,28200,28200,27150,27500,510493,-0.03677758318739055
2024-07-31,27300,28650,27000,28550,567064,0.038181818181818095
2024-08-01,29850,30500,29250,29650,652793,0.038528896672504365
2024-08-02,28100,28450,26300,26550,915283,-0.10455311973018555
2024-08-05,25700,26000,22150,23200,869910,-0.1261770244821092
2024-08-06,24000,26350,23500,25100,1367978,0.0818965517241379
2024-08-07,25700,26350,24650,25850,777895,0.029880478087649376
2024-08-08,25000,27100,24950,26900,742791,0.04061895551257244
2024-08-09,28150,28400,27200,27500,594558,0.02230483271375472
2024-08-12,27600,28500,27400,27900,326803,0.014545454545454639
2024-08-13,28300,28300,27200,27400,268257,-0.017921146953404965
2024-08-14,28350,28700,27900,28150,385799,0.027372262773722733
2024-08-16,29000,29850,28700,29450,507369,0.04618117229129659
2024-08-19,29350,29500,28300,28300,320276,-0.039049235993208864
2024-08-20,29000,30250,28800,29800,520584,0.053003533568904526
2024-08-21,29100,29600,28600,29050,366565,-0.025167785234899376
2024-08-22,29250,29450,28150,28250,308349,-0.027538726333907082
2024-08-23,27800,28350,27500,28100,231405,-0.005309734513274322
2024-08-26,28250,28350,27400,27750,235651,-0.01245551601423489
2024-08-27,27450,27650,27050,27300,270165,-0.01621621621621616
2024-08-28,27150,28200,26950,28050,349903,0.027472527472527375
2024-08-29,26700,27200,26300,26900,376106,-0.04099821746880572
2024-08-30,26950,27300,26650,26900,348751,0.0
2024-09-02,26800,26850,25850,26000,400357,-0.03345724907063197
2024-09-03,26000,26200,25250,25250,376547,-0.028846153846153855
2024-09-04,23650,24000,23300,23750,542849,-0.05940594059405946
2024-09-05,24000,24150,23150,23350,352990,-0.01684210526315788
2024-09-06,23300,23550,22550,22800,320534,-0.023554603854389677
2024-09-09,22200,22950,22050,22700,352336,-0.004385964912280715
2024-09-10,23050,23050,22050,22300,335003,-0.017621145374449365
2024-09-11,22500,22950,22100,22250,297676,-0.0022421524663677195
2024-09-12,23700,24900,23450,24400,1007529,0.09662921348314613
2024-09-13,23950,25150,23950,24850,508040,0.018442622950819665
2024-09-19,24650,24850,23500,24100,409229,-0.030181086519114664
2024-09-20,24750,25150,24550,24750,502501,0.026970954356846377
2024-09-23,24350,25400,24300,24950,241765,0.008080808080808133
2024-09-24,24950,25550,24800,25450,245381,0.02004008016032066
2024-09-25,26100,26250,25600,25650,361402,0.007858546168958647
2024-09-26,26600,27200,26300,26850,505999,0.04678362573099415
2024-09-27,26900,27500,26750,27050,285328,0.007448789571694592
2024-09-30,27100,27150,26400,26800,208084,-0.009242144177449174
2024-10-02,26200,27650,26150,27050,257859,0.009328358208955168
2024-10-04,27300,27600,26950,27050,182785,0.0
2024-10-07,27100,27850,27000,27600,170575,0.020332717190388205
2024-10-08,27350,27900,27100,27150,248539,-0.016304347826086918
2024-10-10,27500,27800,26850,27150,179154,0.0
2024-10-11,27400,27800,27150,27150,212594,0.0
2024-10-14,27050,27800,26900,27550,199785,0.014732965009208066
2024-10-15,27950,28750,27350,28450,454258,0.03266787658802173
2024-10-16,27700,28200,27100,27750,411077,-0.024604569420035194
2024-10-17,28050,28750,27850,28300,301230,0.01981981981981984
2024-10-18,28800,28800,27400,27600,278788,-0.02473498233215543
2024-10-21,27550,27750,27100,27400,146595,-0.007246376811594235
2024-10-22,27350,27750,26600,27000,215692,-0.014598540145985384
2024-10-23,26950,28600,26800,28500,458505,0.05555555555555558
2024-10-24,28300,28350,27000,27050,296248,-0.05087719298245619
2024-10-25,27300,27450,26700,26950,210090,-0.003696857670979714
2024-10-28,26950,27100,25900,27050,335607,0.0037105751391466324
2024-10-29,26950,31050,26300,31050,4409255,0.1478743068391868
2024-10-30,30300,30550,29150,29850,2477667,-0.03864734299516903
2024-10-31,29450,31800,29450,31000,2964215,0.038525963149078635
2024-11-01,30950,33350,30800,32700,3453955,0.05483870967741944
2024-11-04,33300,34050,32000,32400,2106129,-0.00917431192660545
2024-11-05,32400,32900,31650,32150,888582,-0.007716049382716084
2024-11-06,32650,32700,30550,30750,796384,-0.043545878693623585
2024-11-07,30600,30950,29750,30600,603666,-0.004878048780487809
2024-11-08,30900,31350,30450,30700,544834,0.0032679738562091387
2024-11-11,30400,30450,29350,29700,383185,-0.032573289902280145
2024-11-12,29600,29650,27150,27550,1031974,-0.07239057239057234
2024-11-13,27450,29150,27350,28650,743402,0.03992740471869327
2024-11-14,29250,29300,27550,27550,487941,-0.03839441535776611
2024-11-15,27350,29200,27300,28600,492103,0.038112522686025496
2024-11-18,29150,29200,27500,27700,424289,-0.03146853146853146
2024-11-19,28100,28100,26450,27650,394177,-0.0018050541516245744
2024-11-20,27900,28850,27150,28150,440793,0.018083182640144635
2024-11-21,28800,29850,28100,28550,795182,0.014209591474245054
2024-11-22,28950,30100,28700,29200,503200,0.022767075306479923
2024-11-25,29750,30650,29600,29700,498895,0.017123287671232834
2024-11-26,29700,30800,29350,30250,536939,0.0185185185185186
2024-11-27,29950,30200,28600,28650,585610,-0.05289256198347103
2024-11-28,28400,29150,27850,28950,455885,0.010471204188481575
2024-11-29,28950,29250,27700,27900,410471,-0.03626943005181349
2024-12-02,28000,28250,25850,26000,680139,-0.06810035842293904
2024-12-03,26000,28100,25950,28000,531179,0.07692307692307687
2024-12-04,27100,28700,26900,27900,527309,-0.0035714285714285587
2024-12-05,28200,29550,28200,29400,586304,0.053763440860215006
2024-12-06,29450,29450,27600,28350,515382,-0.0357142857142857
2024-12-09,27900,29150,27700,27900,519590,-0.015873015873015928
2024-12-10,28600,28600,27550,27800,532541,-0.0035842293906810374
2024-12-11,27850,28200,27550,27900,346338,0.003597122302158251
2024-12-12,28500,29900,28500,29650,958510,0.06272401433691766
2024-12-13,29800,30600,29600,30200,2066143,0.018549747048903775
2024-12-16,30650,30800,29850,29850,345056,-0.011589403973509937
2024-12-17,30250,31100,30200,30200,755603,0.011725293132328396
2024-12-18,30100,30500,29800,30050,292169,-0.004966887417218513
2024-12-19,29050,29800,29000,29500,274133,-0.01830282861896837
2024-12-20,29750,30300,29000,29000,355778,-0.016949152542372836
2024-12-23,29500,30000,28700,29650,281135,0.022413793103448265
2024-12-24,30200,31100,29650,30350,410764,0.02360876897133224
2024-12-26,30650,30700,29700,29700,252737,-0.021416803953871466
2024-12-27,29700,30400,28700,28750,341367,-0.03198653198653201
2024-12-30,28800,29500,28250,29450,218945,0.024347826086956514
2025-01-02,29150,29900,28750,29750,269040,0.01018675721561979
2025-01-03,29900,31450,29750,31300,634337,0.05210084033613449
2025-01-06,31700,32650,31650,32550,737241,0.039936102236421744
2025-01-07,33100,33150,31750,31750,479045,-0.02457757296466978
2025-01-08,31450,33350,31250,33300,620327,0.04881889763779523
2025-01-09,33300,33500,32800,33400,446624,0.0030030030030030463
2025-01-10,33450,33550,32600,32700,379476,-0.020958083832335328
2025-01-13,32200,33600,32150,32750,288135,0.001529051987767538
2025-01-14,33200,33700,32750,33450,370644,0.021374045801526798
2025-01-15,33450,35300,33350,34450,820737,0.029895366218236186
2025-01-16,35050,35600,34700,35250,549216,0.023222060957909907
2025-01-17,35100,35500,34450,34700,402356,-0.015602836879432647
2025-01-20,35050,35450,34200,34500,361078,-0.0057636887608069065
2025-01-21,34850,35600,34800,35100,383744,0.017391304347825987
2025-01-22,34650,34700,32200,33500,1345542,-0.04558404558404561
2025-01-23,33700,33750,32250,32650,576041,-0.025373134328358193
2025-01-24,32700,33600,32700,33050,349674,0.012251148545176171
2025-01-31,33200,33250,31350,31700,560285,-0.0408472012102874
2025-02-03,31000,31200,28800,29050,694303,-0.08359621451104104
2025-02-04,29600,29950,28950,29100,389517,0.001721170395869276
2025-02-05,29400,30000,29250,29950,345310,0.029209621993127044
2025-02-06,30600,31850,30150,31750,507143,0.06010016694490816
2025-02-07,32300,32300,31450,31800,391515,0.0015748031496063408
2025-02-10,31250,32650,31000,32450,407931,0.020440251572326984
2025-02-11,32700,32700,31250,31400,386442,-0.03235747303543912
2025-02-12,31350,31600,30800,31000,229480,-0.01273885350318471
2025-02-13,31500,31700,31050,31350,255508,0.011290322580645107
2025-02-14,31850,35200,31450,33850,2424167,0.0797448165869219
2025-02-17,34550,35150,34100,34200,828579,0.010339734121122657
2025-02-18,34300,34600,33750,34450,395257,0.007309941520467822
2025-02-19,34600,40000,34450,38900,6062758,0.1291727140783745
2025-02-20,38150,38500,37300,38200,1223125,-0.01799485861182515
2025-02-21,38500,38500,36150,36600,1128136,-0.041884816753926746
2025-02-24,35850,36200,35200,35550,617510,-0.02868852459016391
2025-02-25,35050,36100,34700,35400,654745,-0.00421940928270037
2025-02-26,35600,35700,34700,35450,429104,0.0014124293785311437
2025-02-27,36000,36300,34500,34600,543329,-0.023977433004231274
2025-02-28,33300,34050,33250,33250,580069,-0.039017341040462394
2025-03-04,32350,33950,32250,33850,315324,0.018045112781954975
2025-03-05,34150,34600,33000,33300,464071,-0.01624815361890697
2025-03-06,33500,34350,31800,31900,750026,-0.042042042042042094
2025-03-07,31300,32650,31300,31850,491378,-0.0015673981191222097
2025-03-10,31600,33400,31550,32500,435987,0.020408163265306145
2025-03-11,31150,32300,31050,32250,373707,-0.007692307692307665
2025-03-12,32600,33350,32300,33150,367423,0.027906976744185963
2025-03-13,33800,34350,33050,33150,565966,0.0
2025-03-14,33600,34200,33300,33850,327227,0.02111613876319751
2025-03-17,34550,38050,34200,37900,2595321,0.11964549483013287
2025-03-18,37950,40600,37700,38250,2091815,0.00923482849604218
2025-03-19,38150,39500,37800,38950,1063625,0.018300653594771177
2025-03-20,39900,42100,39000,40300,3233331,0.03465982028241332
2025-03-21,39750,43400,39600,42350,3585960,0.05086848635235741
2025-03-24,41950,42700,40900,42450,710607,0.0023612750885477762
2025-03-25,42500,42700,40050,40200,742505,-0.05300353356890464
2025-03-26,40000,41950,39000,41150,725090,0.023631840796019876
2025-03-27,40200,41000,39800,40450,382506,-0.017010935601458055
2025-03-28,40300,40350,38150,38750,513732,-0.04202719406674904
2025-03-31,37400,39000,37350,38150,370331,-0.015483870967741953
2025-04-01,39350,39500,38000,38700,525290,0.014416775884665833
2025-04-02,39150,39300,37900,38400,376385,-0.007751937984496138
2025-04-03,37000,38450,36700,38200,417331,-0.00520833333333337
2025-04-04,37100,38600,34950,36200,669345,-0.05235602094240843
2025-04-07,34200,35500,34050,34050,506380,-0.05939226519337015
2025-04-08,35700,35800,34200,34700,440662,0.019089574155653377
2025-04-09,34200,36300,34100,35050,592694,0.01008645533141217
2025-04-10,38850,39050,36650,36800,733941,0.049928673323823114
2025-04-11,35800,37200,34500,36050,1977996,-0.020380434782608647
2025-04-14,36550,36700,35550,36000,532591,-0.001386962552011095
2025-04-15,36200,36900,35900,36050,466732,0.001388888888888884
2025-04-16,35450,35450,34050,34100,600026,-0.05409153952843271
2025-04-17,33600,34850,33600,34800,368449,0.02052785923753664
2025-04-18,34450,35050,34100,35000,269882,0.005747126436781658
2025-04-21,34650,36700,34500,35950,606144,0.027142857142857135
2025-04-22,35500,36050,34550,34700,377766,-0.03477051460361613
2025-04-23,35800,37450,35350,37450,665050,0.07925072046109505
2025-04-24,37650,37850,36150,36200,456045,-0.03337783711615483
2025-04-25,37000,37500,36350,36800,387606,0.016574585635359185
2025-04-28,36800,36800,34900,34900,599839,-0.05163043478260865
2025-04-29,35450,35750,35050,35250,225430,0.01002865329512903
2025-04-30,35250,35250,33500,33600,593313,-0.04680851063829783
2025-05-02,33750,34400,33200,34050,415709,0.013392857142857206
2025-05-07,34400,34950,33700,33950,572689,-0.002936857562408246
2025-05-08,34550,34700,33700,33900,567793,-0.0014727540500736325
2025-05-09,34350,35250,33950,34200,682435,0.008849557522123908
2025-05-12,34900,35650,34350,35650,626725,0.042397660818713545
2025-05-13,36750,37600,35000,35150,813656,-0.014025245441795287
2025-05-14,35950,36750,35700,36300,613188,0.03271692745376953
2025-05-15,36300,36750,35200,35500,420987,-0.02203856749311295
2025-05-16,35700,35700,34650,35100,377972,-0.011267605633802802
2025-05-19,34450,34450,33100,33550,490123,-0.04415954415954415
2025-05-20,34050,34300,32750,33000,360717,-0.016393442622950838
2025-05-21,33000,33250,32900,33000,271404,0.0
2025-05-22,32600,32700,31500,31800,409605,-0.036363636363636376
2025-05-23,31850,32150,31000,31150,401993,-0.020440251572327095
2025-05-26,30850,32300,30800,31600,454575,0.014446227929374
2025-05-27,31800,31800,30950,31450,217890,-0.004746835443038
2025-05-28,32000,32750,31800,32000,377424,0.01748807631160565
2025-05-29,32800,32900,31900,32200,312847,0.006250000000000089
2025-05-30,31900,32300,31350,31400,368762,-0.024844720496894457
2025-06-02,31500,32000,31250,31400,190538,0.0
2025-06-04,32100,32600,31450,31600,415743,0.006369426751592355
2025-06-05,32050,33700,31700,32600,932225,0.03164556962025311
2025-06-09,33050,33300,32150,32550,499447,-0.0015337423312883347
2025-06-10,32850,32900,30800,30950,1111285,-0.04915514592933945
2025-06-11,31200,32600,31200,32250,769791,0.042003231017770704
2025-06-12,32050,32650,31850,32000,559998,-0.007751937984496138
2025-06-13,32400,32500,30900,31050,530058,-0.029687499999999978
2025-06-16,30600,31400,30300,31200,285405,0.004830917874396157
2025-06-17,31600,32500,31100,31800,621019,0.019230769230769162
2025-06-18,31500,32000,31350,31750,336155,-0.0015723270440252124
2025-06-19,32150,32200,31400,31650,262929,-0.0031496062992125706
2025-06-20,31900,32150,31300,31500,520390,-0.004739336492891044
2025-06-23,30600,30800,29550,30250,626015,-0.03968253968253965
2025-06-24,30850,31750,30750,31550,551292,0.04297520661157028
2025-06-25,32450,32500,31650,32100,416747,0.017432646592709933
2025-06-26,32700,33450,32350,32700,905847,0.01869158878504673
2025-06-27,32850,32850,31650,31800,344822,-0.02752293577981646
2025-06-30,31850,32050,30900,31050,370686,-0.02358490566037741
2025-07-01,31000,31250,30650,30700,430867,-0.011272141706924366
2025-07-02,30800,31200,30200,30850,312888,0.004885993485342022
2025-07-03,31150,31600,30950,31550,367589,0.02269043760129663
2025-07-04,31900,31950,30500,30550,359309,-0.031695721077654504
2025-07-07,30400,30700,30150,30200,240215,-0.011456628477905073
2025-07-08,30150,30750,30100,30650,185065,0.01490066225165565
2025-07-09,30750,30750,30000,30100,305823,-0.01794453507340943
2025-07-10,30400,30500,30100,30250,210979,0.004983388704318914
2025-07-11,30400,30900,30100,30100,471807,-0.0049586776859503745
2025-07-14,30150,30300,29950,30200,202855,0.0033222591362125353
2025-07-15,30100,30400,30050,30400,192079,0.0066225165562914245
2025-07-16,30850,30900,30350,30400,223001,0.0
2025-07-17,30450,30450,29900,30350,276978,-0.00164473684210531
2025-07-18,30500,30550,30050,30150,189326,-0.00658978583196046
2025-07-21,30200,30300,30100,30250,126455,0.0033167495854062867
2025-07-22,30400,30450,29750,29800,218833,-0.014876033057851235
2025-07-23,29700,29750,28950,29500,231982,-0.010067114093959773
2025-07-24,29750,30000,29100,29150,182521,-0.011864406779661052
2025-07-25,29050,29250,28900,28900,102504,-0.00857632933104635
2025-07-28,29100,29750,29000,29750,233748,0.02941176470588225
2025-07-29,29600,29750,29000,29150,198980,-0.020168067226890796
2025-07-30,29150,29950,29100,29550,287543,0.013722126929674117
2025-07-31,28700,28750,27200,27250,782176,-0.07783417935702197
2025-08-01,27550,27600,26100,26350,257359,-0.03302752293577982
2025-08-04,26200,27150,26050,27050,191812,0.026565464895635715
2025-08-05,27250,27400,26900,27100,204148,0.001848428835489857
2025-08-06,26850,27800,26800,27650,264099,0.02029520295202958
2025-08-07,27850,27850,27200,27450,128160,-0.007233273056057921
2025-08-08,27900,28400,27600,27950,269248,0.01821493624772308
2025-08-11,28200,28450,27850,28300,110686,0.012522361359570633
2025-08-12,28150,28450,27950,27950,169212,-0.012367491166077715
2025-08-13,28200,28550,28000,28400,186393,0.01610017889087656
2025-08-14,28500,28600,28100,28450,145062,0.0017605633802817433
2025-08-18,27950,28200,27400,27600,159218,-0.02987697715289983
2025-08-19,27600,27800,27000,27300,194674,-0.010869565217391353
2025-08-20,26900,27200,26250,26800,292034,-0.01831501831501836
2025-08-21,26600,26850,26300,26400,179476,-0.014925373134328401
2025-08-22,26400,26800,26400,26500,89011,0.0037878787878788955
2025-08-25,26750,27000,26450,26900,100302,0.015094339622641506
2025-08-26,27000,27150,26550,26850,261529,-0.0018587360594795044
2025-08-27,26800,27050,26450,26550,197008,-0.011173184357541888
2025-08-28,26600,27950,26600,27400,342613,0.03201506591337089
2025-08-29,27850,27950,27300,27400,281977,0.0
2025-09-01,27300,27300,26200,26300,273206,-0.04014598540145986
2025-09-02,26500,27000,26200,26700,148789,0.015209125475285079
2025-09-03,26500,26800,26300,26700,145728,0.0
2025-09-04,26800,28000,26750,27800,305414,0.04119850187265928
2025-09-05,28100,28150,27400,27650,220216,-0.0053956834532373765
2025-09-08,27650,27850,27450,27800,142228,0.005424954792043302
2025-09-09,28150,28200,27800,28050,273881,0.008992805755395628
2025-09-10,28350,28450,28100,28300,288400,0.00891265597147961
2025-09-11,28800,28850,27900,28750,517893,0.01590106007067127
2025-09-12,28900,29400,28450,28650,586537,-0.003478260869565264
2025-09-15,29400,30150,29050,29750,587702,0.03839441535776622
2025-09-16,30100,30300,29550,30250,447696,0.01680672268907557
2025-09-17,29950,30100,29550,29900,271079,-0.011570247933884281
2025-09-18,30200,31350,29950,30950,833879,0.03511705685618738
2025-09-19,32600,32650,31300,32400,1274263,0.04684975767366728
2025-09-22,32300,32550,32050,32350,567590,-0.0015432098765432167
2025-09-23,33000,33050,31600,32000,563661,-0.010819165378670781
2025-09-24,31400,32550,30950,32500,647026,0.015625
2025-09-25,32150,33000,31650,32100,517471,-0.012307692307692353
2025-09-26,31650,31650,30450,30700,429633,-0.04361370716510904
2025-09-29,30700,31450,30550,31300,231606,0.019543973941368087
2025-09-30,31350,31700,30700,30900,198534,-0.012779552715655007
2025-10-01,31050,31500,30900,31250,314438,0.01132686084142387
2025-10-02,32150,32300,30700,31050,1676257,-0.006399999999999961
2025-10-10,32050,32550,31600,32550,828942,0.048309178743961345
2025-10-13,31300,32400,31100,32250,661158,-0.009216589861751112
2025-10-14,33100,33150,30500,30800,870299,-0.04496124031007753
2025-10-15,31100,31900,30700,31800,406222,0.032467532467532534
2025-10-16,31500,32050,31250,31850,353884,0.0015723270440251014
2025-10-17,31350,32150,31000,31000,374662,-0.026687598116169498
2025-10-20,31400,31950,31050,31450,429198,0.014516129032257963
2025-10-21,31700,31850,30600,30800,390304,-0.020667726550079535
2025-10-22,30650,30700,29800,30650,315259,-0.004870129870129913
2025-10-23,30300,30600,29950,30200,226648,-0.014681892332789603
2025-10-24,30750,31200,30400,31000,298890,0.026490066225165476
2025-10-27,31500,31550,30800,31200,245397,0.006451612903225712
2025-10-28,30800,30800,30250,30400,302903,-0.02564102564102566
2025-10-29,30700,32300,30550,32000,844958,0.05263157894736836
2025-10-30,31700,31750,30550,31000,332709,-0.03125
2025-10-31,31050,31150,30500,30700,243746,-0.009677419354838679
2025-11-03,30850,31400,30450,31250,389666,0.01791530944625408
2025-11-04,31500,32550,31350,31850,742754,0.019200000000000106
2025-11-05,31100,31200,29350,30400,585541,-0.04552590266875978
2025-11-06,31200,31650,30150,30850,445891,0.014802631578947345
2025-11-07,30100,30450,28750,29250,446875,-0.05186385737439225
2025-11-10,29500,30200,29100,30000,269573,0.02564102564102555
2025-11-11,30450,31100,29800,30200,312958,0.006666666666666599
2025-11-12,30250,30600,29700,30450,243383,0.008278145695364225
2025-11-13,30150,30750,30100,30400,203547,-0.0016420361247947435
2025-11-14,29700,29750,29200,29300,295588,-0.03618421052631582
2025-11-17,30100,30200,29550,29900,142501,0.020477815699658786
2025-11-18,29950,29950,29000,29100,201715,-0.026755852842809347
2025-11-19,28850,29000,27800,28100,257741,-0.03436426116838487
2025-11-20,28750,28800,28000,28300,216999,0.007117437722419906
2025-11-21,26750,27400,26600,26700,254359,-0.05653710247349819
2025-11-24,27200,27200,26500,26550,139526,-0.005617977528089901
2025-11-25,27100,27500,26350,26450,208936,-0.0037664783427495685
2025-11-26,26700,26800,26350,26750,172377,0.011342155009451904
2025-11-27,27100,27400,26750,27100,150991,0.013084112149532645
2025-11-28,27350,27550,27050,27350,136887,0.009225092250922495
2025-12-01,28100,29900,28000,29350,733758,0.07312614259597816
2025-12-02,30000,30550,29500,30350,384128,0.03407155025553665
2025-12-03,30850,30850,30150,30600,228147,0.008237232289950658
2025-12-04,30200,30250,29300,29500,239264,-0.03594771241830064
2025-12-05,29500,29500,28950,29250,164784,-0.008474576271186418
2025-12-08,29350,29400,28800,29250,160522,0.0
2025-12-09,29200,29250,28900,29050,119622,-0.006837606837606813
2025-12-10,28850,29150,28600,28750,167831,-0.0103270223752151
2025-12-11,28850,28950,28300,28700,288505,-0.0017391304347825765
2025-12-12,28600,28650,28000,28150,385531,-0.019163763066202044
2025-12-15,27500,27900,27350,27700,155717,-0.01598579040852577
2025-12-16,27800,27850,26700,26850,296959,-0.03068592057761732
2025-12-17,27000,27450,26750,27350,144548,0.01862197392923659
2025-12-18,27000,27450,26650,27050,167109,-0.010968921389396757
2025-12-19,27350,27500,26900,26900,207808,-0.00554528650646946
2025-12-22,27450,27950,27350,27900,210190,0.037174721189590976
2025-12-23,28200,28200,27700,27900,147989,0.0
2025-12-24,28000,28050,27250,27300,148654,-0.021505376344086002
2025-12-26,27550,28100,27400,27950,263700,0.023809523809523725
2025-12-29,28000,28250,27550,28100,225048,0.005366726296958779
2025-12-30,27700,28350,27550,27700,270140,-0.014234875444839812
2026-01-02,27700,30550,27700,30450,1035659,0.09927797833935026
2026-01-05,31850,32200,30700,31200,966832,0.024630541871921263
2026-01-06,31300,32750,30600,32450,1214756,0.040064102564102644
2026-01-07,32750,32750,30500,31000,790095,-0.044684129429892194
2026-01-08,31100,35900,30700,34950,4781874,0.1274193548387097
2026-01-09,33850,34100,33050,33400,974286,-0.044349070100143106
2026-01-12,34600,34650,32150,32700,888825,-0.020958083832335328
2026-01-13,33450,33650,32550,33100,577709,0.012232415902140747
